,purchase,maintenance,operation,miles,total
27,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
28,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
29,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
30,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
31,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
32,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
33,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
34,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
35,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
36,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
37,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
38,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
39,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
40,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
41,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
42,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
43,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
44,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
45,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
46,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
47,4717.808411002748,1136.3692152051597,4968.54323679271,1926.0495172968806,10822.720863000617
48,4812.164579222803,1136.3692152051597,2781.043236792709,1926.0495172968806,8729.577031220671
49,4812.164579222803,1136.3692152051597,2781.043236792709,1926.0495172968806,8729.577031220671
50,4812.164579222803,1136.3692152051597,2781.043236792709,1926.0495172968806,8729.577031220671
51,4812.164579222803,1136.3692152051597,2781.043236792709,1926.0495172968806,8729.577031220671
52,4812.164579222803,1136.3692152051597,2781.043236792709,1926.0495172968806,8729.577031220671
53,4812.164579222803,1136.3692152051597,2781.043236792709,1926.0495172968806,8729.577031220671
54,4812.164579222803,1136.3692152051597,2781.043236792709,1926.0495172968806,8729.577031220671
55,4812.164579222803,1136.3692152051597,2781.043236792709,1926.0495172968806,8729.577031220671
56,4812.164579222803,1136.3692152051597,2781.043236792709,1926.0495172968806,8729.577031220671
57,4812.164579222803,1136.3692152051597,2781.043236792709,1926.0495172968806,8729.577031220671
58,4812.164579222803,1136.3692152051597,2781.043236792709,1926.0495172968806,8729.577031220671
59,4812.164579222803,1136.3692152051597,2781.043236792709,1926.0495172968806,8729.577031220671
60,1037.9178504206045,1136.3692152051597,2781.043236792709,1926.0495172968806,4955.330302418473
61,1037.9178504206045,1136.3692152051597,2781.043236792709,1926.0495172968806,4955.330302418473
62,1037.9178504206045,1136.3692152051597,2781.043236792709,1926.0495172968806,4955.330302418473
63,1037.9178504206045,1136.3692152051597,2781.043236792709,1926.0495172968806,4955.330302418473
64,1037.9178504206045,1136.3692152051597,2781.043236792709,1926.0495172968806,4955.330302418473
65,1037.9178504206045,1136.3692152051597,2781.043236792709,1926.0495172968806,4955.330302418473
66,1037.9178504206045,1136.3692152051597,2781.043236792709,1926.0495172968806,4955.330302418473
67,1037.9178504206045,1136.3692152051597,2781.043236792709,1926.0495172968806,4955.330302418473
68,1037.9178504206045,1136.3692152051597,2781.043236792709,1926.0495172968806,4955.330302418473
69,1037.9178504206045,1136.3692152051597,2781.043236792709,1926.0495172968806,4955.330302418473
70,1037.9178504206045,1136.3692152051597,2781.043236792709,1926.0495172968806,4955.330302418473
71,1037.9178504206045,1136.3692152051597,2781.043236792709,1926.0495172968806,4955.330302418473
72,1037.9178504206045,1136.3692152051597,385.20990345937616,1926.0495172968806,2559.4969690851403
73,1037.9178504206045,1136.3692152051597,385.20990345937616,1926.0495172968806,2559.4969690851403
74,1037.9178504206045,1136.3692152051597,385.20990345937616,1926.0495172968806,2559.4969690851403
75,1037.9178504206045,1136.3692152051597,385.20990345937616,1926.0495172968806,2559.4969690851403
76,1037.9178504206045,1136.3692152051597,385.20990345937616,1926.0495172968806,2559.4969690851403
77,1037.9178504206045,1136.3692152051597,385.20990345937616,1926.0495172968806,2559.4969690851403
78,1037.9178504206045,1136.3692152051597,385.20990345937616,1926.0495172968806,2559.4969690851403
79,1037.9178504206045,1136.3692152051597,385.20990345937616,1926.0495172968806,2559.4969690851403
80,1037.9178504206045,1136.3692152051597,385.20990345937616,1926.0495172968806,2559.4969690851403
81,1037.9178504206045,1136.3692152051597,385.20990345937616,1926.0495172968806,2559.4969690851403
82,1037.9178504206045,1136.3692152051597,385.20990345937616,1926.0495172968806,2559.4969690851403
83,1037.9178504206045,1136.3692152051597,385.20990345937616,1926.0495172968806,2559.4969690851403
84,94.35616822005495,1136.3692152051597,385.20990345937616,1926.0495172968806,1615.9352868845908
85,94.35616822005495,1136.3692152051597,385.20990345937616,1926.0495172968806,1615.9352868845908
86,94.35616822005495,1136.3692152051597,385.20990345937616,1926.0495172968806,1615.9352868845908
87,94.35616822005495,1136.3692152051597,385.20990345937616,1926.0495172968806,1615.9352868845908
88,94.35616822005495,1136.3692152051597,385.20990345937616,1926.0495172968806,1615.9352868845908
89,94.35616822005495,1136.3692152051597,385.20990345937616,1926.0495172968806,1615.9352868845908
90,94.35616822005495,1136.3692152051597,385.20990345937616,1926.0495172968806,1615.9352868845908
91,94.35616822005495,1136.3692152051597,385.20990345937616,1926.0495172968806,1615.9352868845908
